iter	Passed	Remaining
0	171	171173
1	183	91600
2	201	66979
3	214	53315
4	229	45723
5	244	40579
6	260	36927
7	275	34164
8	289	31928
9	305	30274
10	319	28712
11	332	27381
12	343	26110
13	357	25184
14	370	24331
15	389	23944
16	403	23322
17	415	22689
18	426	22037
19	436	21407
20	449	20944
21	460	20459
22	470	19965
23	482	19613
24	493	19250
25	503	18874
26	517	18667
27	529	18375
28	539	18048
29	550	17787
30	561	17543
31	570	17266
32	582	17066
33	595	16908
34	606	16721
35	619	16594
36	631	16430
37	642	16272
38	652	16072
39	662	15908
40	674	15778
41	686	15658
42	699	15569
43	714	15517
44	727	15432
45	743	15418
46	788	15981
47	808	16027
48	818	15891
49	831	15795
50	843	15689
51	854	15571
52	863	15422
53	874	15319
54	885	15211
55	895	15102
56	908	15023
57	920	14942
58	933	14896
59	944	14792
60	955	14711
61	965	14612
62	975	14510
63	987	14444
64	999	14374
65	1008	14275
66	1023	14256
67	1035	14193
68	1047	14131
69	1058	14058
70	1070	14009
71	1081	13935
72	1090	13842
73	1101	13778
74	1113	13727
75	1122	13647
76	1135	13612
77	1148	13577
78	1158	13507
79	1170	13458
80	1181	13409
81	1191	13343
82	1203	13301
83	1214	13245
84	1223	13171
85	1237	13153
86	1250	13121
87	1262	13089
88	1271	13019
89	1283	12977
90	1295	12939
91	1305	12880
92	1316	12840
93	1329	12810
94	1340	12774
95	1352	12731
96	1365	12708
97	1374	12655
98	1385	12613
99	1399	12592
100	1410	12552
101	1419	12499
102	1431	12462
103	1440	12409
104	1453	12385
105	1465	12357
106	1475	12314
107	1485	12270
108	1498	12248
109	1509	12211
110	1519	12166
111	1530	12136
112	1541	12098
113	1554	12082
114	1566	12053
115	1577	12019
116	1586	11973
117	1598	11949
118	1609	11916
119	1619	11875
